"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:26:13 UTC 2026","Sun Aug 30 20:26:31 UTC 2026","17900","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorCurrenciesTest","techrba.selenium.ExchangeCalculatorCurrenciesTest","convertEurToJpy","convertEurToJpy","Convert EUR -> JPY via the calculator and verify rate/amount consistency"
"passed","Sun Aug 30 20:23:21 UTC 2026","Sun Aug 30 20:23:21 UTC 2026","2","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.WikipediaJsonToXmlTest","techrba.unit.WikipediaJsonToXmlTest","specialCharactersAreEscaped","specialCharactersAreEscaped",""
"passed","Sun Aug 30 20:23:22 UTC 2026","Sun Aug 30 20:23:24 UTC 2026","2383","RBA QA Suite","Unit + API Tests (REST)","techrba.api.ExchangeRateApiTest","techrba.api.ExchangeRateApiTest","buyGbpViaRest","buyGbpViaRest","Buy GBP via REST - read exchange rate and final amount"
"passed","Sun Aug 30 20:26:32 UTC 2026","Sun Aug 30 20:26:49 UTC 2026","17276","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorCurrenciesTest","techrba.selenium.ExchangeCalculatorCurrenciesTest","convertUsdToChf","convertUsdToChf","Convert USD -> CHF via the calculator and verify rate/amount consistency"
"passed","Sun Aug 30 20:23:55 UTC 2026","Sun Aug 30 20:24:15 UTC 2026","20048","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorRateTypesTest","techrba.selenium.ExchangeCalculatorRateTypesTest","srednjiModeHidesEffectiveSection","srednjiModeHidesEffectiveSection","Srednji tecaj hides the 'Za efektivu' (acctContainer) section"
"passed","Sun Aug 30 20:23:21 UTC 2026","Sun Aug 30 20:23:21 UTC 2026","121","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.WikipediaJsonToXmlTest","techrba.unit.WikipediaJsonToXmlTest","arraysAreWrappedInItemElements","arraysAreWrappedInItemElements",""
"passed","Sun Aug 30 20:25:37 UTC 2026","Sun Aug 30 20:25:54 UTC 2026","17790","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorTest","techrba.selenium.ExchangeCalculatorTest","exchangeCalculatorRateAndAmount","exchangeCalculatorRateAndAmount","Buy GBP and sell USD via the RBA exchange calculator, assert rate and final amount"
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseThrowsOnEmptyInput","parseThrowsOnEmptyInput",""
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:26 UTC 2026","1099","RBA QA Suite","Unit + API Tests (REST)","techrba.api.WikipediaApiTest","techrba.api.WikipediaApiTest","wikipediaPerformanceSmoke","wikipediaPerformanceSmoke","Performance smoke: repeated search calls complete well below the 5 second threshold"
"passed","Sun Aug 30 20:25:18 UTC 2026","Sun Aug 30 20:25:36 UTC 2026","17667","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorTest","techrba.selenium.ExchangeCalculatorTest","exchangeCalculatorRateAndAmount","exchangeCalculatorRateAndAmount","Buy GBP and sell USD via the RBA exchange calculator, assert rate and final amount"
"passed","Sun Aug 30 20:23:26 UTC 2026","Sun Aug 30 20:23:26 UTC 2026","279","RBA QA Suite","Unit + API Tests (REST)","techrba.api.WikipediaApiTest","techrba.api.WikipediaApiTest","wikipediaSearchReturnsExpectedStructureAndTitle","wikipediaSearchReturnsExpectedStructureAndTitle","Wikipedia search for 'Raiffeisen' - validate 200, response time, pages object, title"
"passed","Sun Aug 30 20:24:33 UTC 2026","Sun Aug 30 20:24:52 UTC 2026","19193","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorSwitchCurrencyTest","techrba.selenium.ExchangeCalculatorSwitchCurrencyTest","switchCurrencySwapsPairAndRecalculates","switchCurrencySwapsPairAndRecalculates","Click #switchCurrency to swap EUR/USD pair and recalculate"
"passed","Sun Aug 30 20:24:53 UTC 2026","Sun Aug 30 20:25:18 UTC 2026","24851","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorDateTest","techrba.selenium.ExchangeCalculatorDateTest","dateLabelMirrorsSelectedDate","dateLabelMirrorsSelectedDate","The #dateVal label shows the date selected in the date picker"
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:23:25 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","0","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.DecimalParserTest","techrba.unit.DecimalParserTest","parseHandlesLocaleFormats","parseHandlesLocaleFormats",""
"passed","Sun Aug 30 20:23:24 UTC 2026","Sun Aug 30 20:23:25 UTC 2026","1001","RBA QA Suite","Unit + API Tests (REST)","techrba.api.ExchangeRateApiTest","techrba.api.ExchangeRateApiTest","sellUsdViaRest","sellUsdViaRest","Sell USD via REST - read exchange rate and final amount"
"passed","Sun Aug 30 20:23:21 UTC 2026","Sun Aug 30 20:23:21 UTC 2026","2","RBA QA Suite","Unit + API Tests (REST)","techrba.unit.WikipediaJsonToXmlTest","techrba.unit.WikipediaJsonToXmlTest","numericKeysProduceValidXml","numericKeysProduceValidXml",""
"passed","Sun Aug 30 20:23:26 UTC 2026","Sun Aug 30 20:23:27 UTC 2026","524","RBA QA Suite","Unit + API Tests (REST)","techrba.api.WikipediaApiTest","techrba.api.WikipediaApiTest","wikipediaResponseMatchesJsonSchema","wikipediaResponseMatchesJsonSchema","Schema validation of the Wikipedia response against a JSON Schema"
"passed","Sun Aug 30 20:24:16 UTC 2026","Sun Aug 30 20:24:33 UTC 2026","16750","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorInvalidInputTest","techrba.selenium.ExchangeCalculatorInvalidInputTest","textAmountDisplaysNaN","textAmountDisplaysNaN","Typing text into the amount field displays NaN"
"passed","Sun Aug 30 20:23:32 UTC 2026","Sun Aug 30 20:23:54 UTC 2026","22030","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorRateTypesTest","techrba.selenium.ExchangeCalculatorRateTypesTest","rateTypesProduceSensibleResults","rateTypesProduceSensibleResults","Kupovni/Srednji/Prodajni differ and Srednji hides the 'Za efektivu' section"
"passed","Sun Aug 30 20:25:55 UTC 2026","Sun Aug 30 20:26:13 UTC 2026","17533","RBA QA Suite","UI Tests - Exchange Calculator (Selenium)","techrba.selenium.ExchangeCalculatorCurrenciesTest","techrba.selenium.ExchangeCalculatorCurrenciesTest","convertEurToChf","convertEurToChf","Convert EUR -> CHF via the calculator and verify rate/amount consistency"
